 (0.0241+0.0000j)  (-0.1359-0.0051j)  (0.6693+0.0508j)  (-1.4771-0.1685j)  (1.9367+0.2955j)  (-2.3072-0.4419j)  (2.0072+0.4639j)  (-1.9835-0.5382j)  (2.5345+0.7918j)  (-2.6879-0.9528j)  (2.5967+1.0327j)  (-2.5560-1.1303j)  (2.1546+1.0520j)  (-1.8805-1.0080j)  (1.8562+1.0874j)  (-2.0601-1.3140j)  (2.3813+1.6488j)  (-2.2635-1.6974j)  (1.9876+1.6116j)  (-1.7572-1.5385j)  (1.5845+1.4970j)  (-1.4949-1.5234j)  (1.4051+1.5448j)  (-1.2306-1.4603j)  (1.0734+1.3763j)  (-0.9053-1.2560j)  (0.7644+1.1499j)  (-0.7395-1.2093j)  (0.6704+1.1958j)  (-0.5468-1.0681j)  (0.4410+0.9483j)  (-0.3482-0.8294j)  (0.2738+0.7283j)  (-0.2220-0.6662j)  (0.1781+0.6104j)  (-0.1353-0.5389j)  (0.0981+0.4643j)  (-0.0702-0.4079j)  (0.0499+0.3741j)  (-0.0329-0.3469j)  (0.0182+0.3207j)  (-0.0057-0.3019j)  (-0.0057+0.3019j)  (0.0182-0.3207j)  (-0.0329+0.3469j)  (0.0499-0.3741j)  (-0.0702+0.4079j)  (0.0981-0.4643j)  (-0.1353+0.5389j)  (0.1781-0.6104j)  (-0.2220+0.6662j)  (0.2738-0.7283j)  (-0.3482+0.8294j)  (0.4410-0.9483j)  (-0.5468+1.0681j)  (0.6704-1.1958j)  (-0.7395+1.2093j)  (0.7644-1.1499j)  (-0.9053+1.2560j)  (1.0734-1.3763j)  (-1.2306+1.4603j)  (1.4051-1.5448j)  (-1.4949+1.5234j)  (1.5845-1.4970j)  (-1.7572+1.5385j)  (1.9876-1.6116j)  (-2.2635+1.6974j)  (2.3813-1.6488j)  (-2.0601+1.3140j)  (1.8562-1.0874j)  (-1.8805+1.0080j)  (2.1546-1.0520j)  (-2.5560+1.1303j)  (2.5967-1.0327j)  (-2.6879+0.9528j)  (2.5345-0.7918j)  (-1.9835+0.5382j)  (2.0072-0.4639j)  (-2.3072+0.4419j)  (1.9367-0.2955j)  (-1.4771+0.1685j)  (0.6693-0.0508j)  (-0.1359+0.0051j)
 (-0.1276+0.0000j)  (0.3374+0.0128j)  (-0.9995-0.0758j)  (1.6047+0.1830j)  (-2.0632-0.3148j)  (2.0572+0.3940j)  (-1.6528-0.3819j)  (1.7671+0.4795j)  (-2.3583-0.7367j)  (2.4290+0.8610j)  (-2.3665-0.9411j)  (2.4061+1.0640j)  (-2.0563-1.0040j)  (1.9405+1.0402j)  (-2.1289-1.2471j)  (2.2033+1.4053j)  (-2.3501-1.6272j)  (2.1234+1.5924j)  (-1.8160-1.4725j)  (1.6214+1.4197j)  (-1.5114-1.4279j)  (1.4882+1.5167j)  (-1.4689-1.6149j)  (1.2916+1.5327j)  (-1.0350-1.3270j)  (0.7912+1.0977j)  (-0.6957-1.0465j)  (0.7033+1.1501j)  (-0.6156-1.0981j)  (0.5045+0.9855j)  (-0.4047-0.8703j)  (0.3066+0.7305j)  (-0.2423-0.6446j)  (0.2093+0.6280j)  (-0.1727-0.5920j)  (0.1330+0.5294j)  (-0.0978-0.4631j)  (0.0694+0.4035j)  (-0.0489-0.3669j)  (0.0318+0.3352j)  (-0.0176-0.3105j)  (0.0057+0.3013j)  (0.0058-0.3066j)  (-0.0181+0.3186j)  (0.0322-0.3396j)  (-0.0484+0.3632j)  (0.0689-0.4008j)  (-0.1003+0.4747j)  (0.1402-0.5583j)  (-0.1814+0.6219j)  (0.2338-0.7015j)  (-0.2978+0.7921j)  (0.3558-0.8476j)  (-0.4376+0.9410j)  (0.5567-1.0874j)  (-0.6676+1.1908j)  (0.7261-1.1874j)  (-0.8105+1.2193j)  (0.9106-1.2634j)  (-0.9716+1.2457j)  (1.1492-1.3637j)  (-1.3420+1.4754j)  (1.4702-1.4983j)  (-1.5574+1.4714j)  (1.6743-1.4660j)  (-1.8886+1.5314j)  (2.0866-1.5648j)  (-2.1620+1.4970j)  (2.0280-1.2935j)  (-1.9102+1.1190j)  (2.0708-1.1100j)  (-2.4791+1.2104j)  (2.7817-1.2301j)  (-2.9105+1.1574j)  (2.7914-0.9895j)  (-2.5687+0.8025j)  (2.4730-0.6710j)  (-2.4460+0.5652j)  (2.2314-0.4274j)  (-1.8141+0.2768j)  (1.4058-0.1603j)  (-0.5720+0.0434j)  (0.1738-0.0066j)
 (0.6268-0.0000j)  (-1.0512-0.0398j)  (1.4293+0.1084j)  (-1.7598-0.2007j)  (1.7529+0.2674j)  (-1.5270-0.2925j)  (1.5822+0.3656j)  (-1.7207-0.4669j)  (2.0620+0.6442j)  (-2.2658-0.8032j)  (2.5139+0.9997j)  (-2.4674-1.0911j)  (2.0108+0.9818j)  (-2.0556-1.1019j)  (2.4135+1.4138j)  (-2.3577-1.5038j)  (2.1991+1.5227j)  (-1.8412-1.3808j)  (1.4734+1.1947j)  (-1.3954-1.2218j)  (1.4537+1.3734j)  (-1.4785-1.5067j)  (1.4372+1.5801j)  (-1.2004-1.4245j)  (0.9420+1.2078j)  (-0.7665-1.0635j)  (0.6762+1.0172j)  (-0.6359-1.0398j)  (0.5597+0.9983j)  (-0.4688-0.9157j)  (0.3618+0.7781j)  (-0.2765-0.6586j)  (0.2295+0.6106j)  (-0.1988-0.5964j)  (0.1636+0.5607j)  (-0.1295-0.5155j)  (0.0955+0.4522j)  (-0.0667-0.3879j)  (0.0464+0.3484j)  (-0.0303-0.3197j)  (0.0170+0.2983j)  (-0.0056-0.2976j)  (-0.0057+0.3015j)  (0.0172-0.3018j)  (-0.0302+0.3186j)  (0.0459-0.3448j)  (-0.0681+0.3961j)  (0.0999-0.4730j)  (-0.1363+0.5427j)  (0.1774-0.6080j)  (-0.2296+0.6889j)  (0.2884-0.7671j)  (-0.3499+0.8335j)  (0.4343-0.9340j)  (-0.5400+1.0548j)  (0.6560-1.1702j)  (-0.7241+1.1842j)  (0.7902-1.1887j)  (-0.8207+1.1386j)  (0.9098-1.1665j)  (-1.0982+1.3033j)  (1.2604-1.3857j)  (-1.3829+1.4093j)  (1.4307-1.3517j)  (-1.5183+1.3294j)  (1.7237-1.3977j)  (-1.8755+1.4065j)  (2.0044-1.3879j)  (-2.0971+1.3375j)  (2.1617-1.2663j)  (-2.2384+1.1999j)  (2.4416-1.1921j)  (-2.5646+1.1341j)  (2.7504-1.0938j)  (-2.5628+0.9084j)  (2.2868-0.7144j)  (-2.2140+0.6007j)  (2.1243-0.4909j)  (-1.9848+0.3802j)  (1.7983-0.2744j)  (-1.2883+0.1469j)  (0.7181-0.0545j)  (-0.5063+0.0192j)
 (-1.3441+0.0000j)  (1.4240+0.0539j)  (-1.6672-0.1265j)  (1.8846+0.2149j)  (-1.5516-0.2367j)  (1.3946+0.2671j)  (-1.7817-0.4117j)  (2.0531+0.5571j)  (-2.1236-0.6634j)  (2.4188+0.8574j)  (-2.6800-1.0658j)  (2.4713+1.0928j)  (-2.1132-1.0318j)  (2.0459+1.0967j)  (-2.3512-1.3773j)  (2.2309+1.4229j)  (-2.0131-1.3939j)  (1.7026+1.2768j)  (-1.3846-1.1227j)  (1.2790+1.1198j)  (-1.3155-1.2429j)  (1.3955+1.4222j)  (-1.3313-1.4636j)  (1.1273+1.3377j)  (-0.9281-1.1900j)  (0.7811+1.0836j)  (-0.6516-0.9801j)  (0.5914+0.9671j)  (-0.5385-0.9604j)  (0.4468+0.8729j)  (-0.3419-0.7353j)  (0.2621+0.6244j)  (-0.2220-0.5906j)  (0.1904+0.5713j)  (-0.1551-0.5316j)  (0.1224+0.4874j)  (-0.0896-0.4241j)  (0.0616+0.3581j)  (-0.0431-0.3237j)  (0.0293+0.3091j)  (-0.0163-0.2868j)  (0.0053+0.2785j)  (0.0051-0.2712j)  (-0.0153+0.2688j)  (0.0278-0.2927j)  (-0.0434+0.3254j)  (0.0644-0.3743j)  (-0.0928+0.4391j)  (0.1257-0.5007j)  (-0.1655+0.5672j)  (0.2100-0.6300j)  (-0.2565+0.6824j)  (0.3199-0.7621j)  (-0.4130+0.8882j)  (0.5148-1.0057j)  (-0.6260+1.1166j)  (0.7133-1.1665j)  (-0.7644+1.1498j)  (0.8150-1.1307j)  (-0.9340+1.1975j)  (1.0732-1.2736j)  (-1.1810+1.2984j)  (1.2911-1.3158j)  (-1.2979+1.2263j)  (1.3860-1.2136j)  (-1.6391+1.3290j)  (1.8964-1.4222j)  (-2.0710+1.4340j)  (2.2238-1.4184j)  (-2.3103+1.3534j)  (2.3342-1.2512j)  (-2.2625+1.1047j)  (2.2285-0.9855j)  (-2.4039+0.9560j)  (2.2479-0.7968j)  (-2.0457+0.6391j)  (1.7847-0.4843j)  (-1.6571+0.3829j)  (1.8405-0.3525j)  (-1.7814+0.2718j)  (1.0241-0.1168j)  (-0.8834+0.0670j)  (1.2289-0.0465j)
 (1.4299-0.0000j)  (-1.6218-0.0614j)  (1.8844+0.1429j)  (-1.6519-0.1884j)  (1.5360+0.2343j)  (-1.7085-0.3272j)  (1.9704+0.4553j)  (-2.2114-0.6000j)  (2.3247+0.7263j)  (-2.4071-0.8532j)  (2.6019+1.0347j)  (-2.2802-1.0083j)  (2.0699+1.0107j)  (-2.0105-1.0777j)  (2.1138+1.2382j)  (-2.0522-1.3089j)  (1.9629+1.3591j)  (-1.7783-1.3336j)  (1.5053+1.2205j)  (-1.3490-1.1812j)  (1.3113+1.2389j)  (-1.3618-1.3878j)  (1.2991+1.4282j)  (-1.1095-1.3166j)  (0.8913+1.1428j)  (-0.7639-1.0598j)  (0.6284+0.9453j)  (-0.5737-0.9381j)  (0.5251+0.9367j)  (-0.4288-0.8377j)  (0.3296+0.7088j)  (-0.2535-0.6038j)  (0.2059+0.5478j)  (-0.1723-0.5168j)  (0.1435+0.4920j)  (-0.1108-0.4413j)  (0.0799+0.3780j)  (-0.0547-0.3179j)  (0.0393+0.2947j)  (-0.0272-0.2868j)  (0.0152+0.2666j)  (-0.0048-0.2557j)  (-0.0047+0.2464j)  (0.0141-0.2474j)  (-0.0264+0.2783j)  (0.0412-0.3094j)  (-0.0584+0.3396j)  (0.0831-0.3936j)  (-0.1165+0.4640j)  (0.1539-0.5276j)  (-0.1932+0.5795j)  (0.2311-0.6147j)  (-0.2868+0.6833j)  (0.3705-0.7967j)  (-0.4747+0.9273j)  (0.5765-1.0282j)  (-0.6575+1.0752j)  (0.7185-1.0809j)  (-0.7903+1.0965j)  (0.9453-1.2120j)  (-1.0975+1.3024j)  (1.2193-1.3405j)  (-1.2979+1.3227j)  (1.2664-1.1965j)  (-1.3359+1.1697j)  (1.6281-1.3201j)  (-1.9472+1.4603j)  (2.0397-1.4123j)  (-2.1182+1.3510j)  (2.2370-1.3104j)  (-2.3539+1.2618j)  (2.2042-1.0762j)  (-2.0377+0.9011j)  (2.2011-0.8753j)  (-2.1543+0.7636j)  (2.0149-0.6295j)  (-1.6725+0.4538j)  (1.5716-0.3632j)  (-1.7774+0.3405j)  (1.6189-0.2470j)  (-1.0539+0.1202j)  (1.1293-0.0857j)  (-1.4039+0.0532j)
 (-1.6386+0.0000j)  (2.0238+0.0766j)  (-1.9362-0.1469j)  (1.6669+0.1901j)  (-1.7921-0.2734j)  (1.8917+0.3623j)  (-1.8153-0.4195j)  (1.8558+0.5035j)  (-1.8879-0.5898j)  (2.1394+0.7583j)  (-2.3817-0.9472j)  (2.0835+0.9213j)  (-1.9253-0.9400j)  (1.7424+0.9340j)  (-1.8424-1.0792j)  (1.8235+1.1631j)  (-1.7898-1.2393j)  (1.6804+1.2602j)  (-1.5106-1.2249j)  (1.4177+1.2413j)  (-1.3730-1.2972j)  (1.3160+1.3411j)  (-1.2146-1.3354j)  (0.9741+1.1559j)  (-0.7996-1.0253j)  (0.7135+0.9899j)  (-0.6019-0.9054j)  (0.5482+0.8965j)  (-0.4930-0.8793j)  (0.4085+0.7980j)  (-0.3179-0.6836j)  (0.2456+0.5850j)  (-0.1903-0.5062j)  (0.1540+0.4619j)  (-0.1267-0.4343j)  (0.0978+0.3894j)  (-0.0713-0.3375j)  (0.0493+0.2865j)  (-0.0345-0.2589j)  (0.0234+0.2468j)  (-0.0133-0.2346j)  (0.0043+0.2284j)  (0.0043-0.2267j)  (-0.0133+0.2347j)  (0.0246-0.2594j)  (-0.0380+0.2852j)  (0.0522-0.3037j)  (-0.0731+0.3462j)  (0.1028-0.4093j)  (-0.1374+0.4711j)  (0.1764-0.5292j)  (-0.2117+0.5631j)  (0.2606-0.6208j)  (-0.3259+0.7007j)  (0.4080-0.7970j)  (-0.4961+0.8848j)  (0.5681-0.9291j)  (-0.6401+0.9629j)  (0.7331-1.0171j)  (-0.8824+1.1313j)  (1.0249-1.2162j)  (-1.1638+1.2795j)  (1.2437-1.2674j)  (-1.2191+1.1518j)  (1.3032-1.1411j)  (-1.5509+1.2575j)  (1.7050-1.2786j)  (-1.8007+1.2468j)  (1.9187-1.2238j)  (-2.0314+1.1900j)  (2.1523-1.1537j)  (-2.0818+1.0164j)  (1.8774-0.8302j)  (-1.9847+0.7893j)  (2.1968-0.7787j)  (-2.1655+0.6765j)  (1.7938-0.4867j)  (-1.6340+0.3776j)  (1.6688-0.3196j)  (-1.4782+0.2255j)  (1.3503-0.1540j)  (-1.4624+0.1109j)  (1.4495-0.0549j)
 (1.6953-0.0000j)  (-1.7386-0.0658j)  (1.7389+0.1319j)  (-1.7377-0.1982j)  (2.0300+0.3097j)  (-1.9150-0.3668j)  (1.6100+0.3721j)  (-1.5513-0.4209j)  (1.7282+0.5399j)  (-2.0114-0.7130j)  (2.1590+0.8586j)  (-1.8222-0.8058j)  (1.5998+0.7811j)  (-1.6501-0.8845j)  (1.6287+0.9541j)  (-1.5678-1.0000j)  (1.6034+1.1102j)  (-1.5395-1.1546j)  (1.4218+1.1528j)  (-1.3365-1.1703j)  (1.2574+1.1880j)  (-1.1786-1.2011j)  (1.0091+1.1094j)  (-0.7931-0.9411j)  (0.6933+0.8889j)  (-0.6025-0.8358j)  (0.5264+0.7919j)  (-0.5013-0.8197j)  (0.4481+0.7993j)  (-0.3696-0.7220j)  (0.2842+0.6112j)  (-0.2140-0.5099j)  (0.1676+0.4460j)  (-0.1385-0.4155j)  (0.1125+0.3856j)  (-0.0861-0.3429j)  (0.0628+0.2972j)  (-0.0443-0.2578j)  (0.0303+0.2271j)  (-0.0200-0.2108j)  (0.0115+0.2025j)  (-0.0037-0.1958j)  (-0.0038+0.1987j)  (0.0118-0.2079j)  (-0.0213+0.2249j)  (0.0326-0.2446j)  (-0.0460+0.2673j)  (0.0625-0.2959j)  (-0.0871+0.3468j)  (0.1215-0.4165j)  (-0.1554+0.4663j)  (0.1853-0.4930j)  (-0.2330+0.5552j)  (0.2820-0.6065j)  (-0.3376+0.6595j)  (0.4094-0.7303j)  (-0.4758+0.7781j)  (0.5529-0.8317j)  (-0.6379+0.8850j)  (0.7298-0.9357j)  (-0.8542+1.0137j)  (1.0111-1.1116j)  (-1.1310+1.1527j)  (1.1415-1.0784j)  (-1.2121+1.0613j)  (1.3450-1.0906j)  (-1.4484+1.0862j)  (1.6412-1.1364j)  (-1.7383+1.1087j)  (1.7910-1.0492j)  (-1.8370+0.9847j)  (1.8227-0.8899j)  (-1.8229+0.8061j)  (1.9109-0.7599j)  (-2.0811+0.7377j)  (1.9652-0.6139j)  (-1.5963+0.4331j)  (1.4165-0.3273j)  (-1.1217+0.2148j)  (1.3419-0.2047j)  (-1.5000+0.1711j)  (1.5205-0.1153j)  (-1.5097+0.0572j)
 (-1.3456+0.0000j)  (1.3492+0.0511j)  (-1.3806-0.1047j)  (1.5286+0.1743j)  (-1.6682-0.2545j)  (1.5589+0.2986j)  (-1.4660-0.3388j)  (1.5409+0.4181j)  (-1.6134-0.5040j)  (1.8439+0.6536j)  (-1.9167-0.7622j)  (1.6025+0.7086j)  (-1.3320-0.6503j)  (1.3063+0.7002j)  (-1.3143-0.7699j)  (1.3498+0.8609j)  (-1.4406-0.9974j)  (1.3418+1.0062j)  (-1.1781-0.9553j)  (1.1240+0.9842j)  (-1.1079-1.0467j)  (1.0273+1.0469j)  (-0.8609-0.9465j)  (0.7183+0.8524j)  (-0.6293-0.8068j)  (0.5124+0.7109j)  (-0.4497-0.6765j)  (0.4239+0.6932j)  (-0.3807-0.6790j)  (0.3222+0.6293j)  (-0.2482-0.5337j)  (0.1885+0.4491j)  (-0.1501-0.3993j)  (0.1234+0.3703j)  (-0.1006-0.3448j)  (0.0760+0.3025j)  (-0.0549-0.2597j)  (0.0391+0.2272j)  (-0.0270-0.2025j)  (0.0177+0.1862j)  (-0.0098-0.1717j)  (0.0031+0.1647j)  (0.0032-0.1687j)  (-0.0099+0.1745j)  (0.0176-0.1858j)  (-0.0269+0.2018j)  (0.0391-0.2276j)  (-0.0544+0.2576j)  (0.0766-0.3050j)  (-0.1039+0.3561j)  (0.1285-0.3856j)  (-0.1593+0.4237j)  (0.2017-0.4805j)  (-0.2444+0.5255j)  (0.2921-0.5706j)  (-0.3459+0.6169j)  (0.4082-0.6676j)  (-0.4763+0.7165j)  (0.5214-0.7233j)  (-0.5844+0.7493j)  (0.6874-0.8158j)  (-0.8435+0.9274j)  (0.9939-1.0129j)  (-1.0240+0.9675j)  (1.0327-0.9042j)  (-1.1197+0.9079j)  (1.2394-0.9294j)  (-1.4260+0.9874j)  (1.5062-0.9607j)  (-1.5531+0.9098j)  (1.5070-0.8078j)  (-1.5093+0.7369j)  (1.6617-0.7348j)  (-1.8436+0.7332j)  (1.8900-0.6700j)  (-1.6421+0.5130j)  (1.4326-0.3887j)  (-1.0595+0.2448j)  (0.8318-0.1593j)  (-1.0961+0.1672j)  (1.3281-0.1515j)  (-1.3340+0.1012j)  (1.3319-0.0504j)
 (1.1199+0.0000j)  (-1.0901-0.0413j)  (1.1088+0.0841j)  (-1.2910-0.1472j)  (1.3166+0.2009j)  (-1.2873-0.2466j)  (1.3707+0.3168j)  (-1.3530-0.3671j)  (1.3998+0.4373j)  (-1.5168-0.5377j)  (1.5314+0.6090j)  (-1.3967-0.6176j)  (1.2193+0.5953j)  (-1.1544-0.6188j)  (1.1903+0.6973j)  (-1.2243-0.7809j)  (1.2535+0.8680j)  (-1.1227-0.8420j)  (0.9909+0.8034j)  (-0.9560-0.8370j)  (0.9360+0.8843j)  (-0.8531-0.8694j)  (0.7788+0.8562j)  (-0.6809-0.8080j)  (0.5629+0.7217j)  (-0.4510-0.6256j)  (0.3822+0.5749j)  (-0.3490-0.5707j)  (0.3180+0.5671j)  (-0.2702-0.5278j)  (0.2105+0.4526j)  (-0.1665-0.3967j)  (0.1340+0.3564j)  (-0.1080-0.3240j)  (0.0870+0.2981j)  (-0.0651-0.2591j)  (0.0463+0.2192j)  (-0.0331-0.1925j)  (0.0236+0.1771j)  (-0.0151-0.1592j)  (0.0081+0.1427j)  (-0.0026-0.1381j)  (-0.0027+0.1419j)  (0.0084-0.1478j)  (-0.0145+0.1532j)  (0.0223-0.1671j)  (-0.0332+0.1930j)  (0.0468-0.2217j)  (-0.0644+0.2565j)  (0.0839-0.2874j)  (-0.1044+0.3132j)  (0.1355-0.3604j)  (-0.1758+0.4188j)  (0.2187-0.4703j)  (-0.2514+0.4912j)  (0.2881-0.5139j)  (-0.3504+0.5729j)  (0.4033-0.6067j)  (-0.4367+0.6059j)  (0.4933-0.6325j)  (-0.5778+0.6857j)  (0.7388-0.8122j)  (-0.8686+0.8852j)  (0.8791-0.8305j)  (-0.8847+0.7746j)  (0.9220-0.7476j)  (-0.9906+0.7429j)  (1.1411-0.7901j)  (-1.2665+0.8078j)  (1.3102-0.7675j)  (-1.1731+0.6288j)  (1.1922-0.5821j)  (-1.4299+0.6323j)  (1.6802-0.6682j)  (-1.6769+0.5944j)  (1.5392-0.4809j)  (-1.2496+0.3391j)  (1.0048-0.2322j)  (-1.0749+0.2059j)  (1.2016-0.1833j)  (-1.2486+0.1424j)  (1.2487-0.0947j)  (-1.1750+0.0445j)
 (-0.9562-0.0000j)  (0.9670+0.0366j)  (-1.0690-0.0811j)  (1.2356+0.1409j)  (-1.2146-0.1853j)  (1.2472+0.2389j)  (-1.2404-0.2866j)  (1.0826+0.2937j)  (-1.1921-0.3724j)  (1.2741+0.4516j)  (-1.2946-0.5148j)  (1.2162+0.5378j)  (-1.1214-0.5475j)  (1.0631+0.5699j)  (-1.1035-0.6464j)  (1.1478+0.7321j)  (-1.0611-0.7347j)  (0.9210+0.6907j)  (-0.8478-0.6874j)  (0.7810+0.6838j)  (-0.7155-0.6760j)  (0.6799+0.6929j)  (-0.6345-0.6976j)  (0.5732+0.6802j)  (-0.4478-0.5742j)  (0.3581+0.4969j)  (-0.3147-0.4734j)  (0.2868+0.4691j)  (-0.2588-0.4616j)  (0.2119+0.4140j)  (-0.1703-0.3663j)  (0.1382+0.3292j)  (-0.1108-0.2947j)  (0.0886+0.2659j)  (-0.0707-0.2423j)  (0.0533+0.2122j)  (-0.0382-0.1807j)  (0.0274+0.1594j)  (-0.0192-0.1443j)  (0.0121+0.1273j)  (-0.0067-0.1172j)  (0.0021+0.1135j)  (0.0022-0.1162j)  (-0.0069+0.1216j)  (0.0119-0.1258j)  (-0.0182+0.1364j)  (0.0272-0.1583j)  (-0.0381+0.1802j)  (0.0509-0.2027j)  (-0.0671+0.2301j)  (0.0881-0.2642j)  (-0.1133+0.3015j)  (0.1459-0.3476j)  (-0.1809+0.3890j)  (0.2093-0.4089j)  (-0.2453+0.4375j)  (0.2958-0.4838j)  (-0.3402+0.5118j)  (0.3831-0.5316j)  (-0.4307+0.5522j)  (0.4981-0.5911j)  (-0.6291+0.6917j)  (0.7155-0.7292j)  (-0.7254+0.6853j)  (0.7158-0.6268j)  (-0.7191+0.5831j)  (0.7765-0.5823j)  (-0.8896+0.6160j)  (1.0047-0.6408j)  (-1.0316+0.6043j)  (0.9471-0.5077j)  (-1.0294+0.5026j)  (1.2475-0.5517j)  (-1.4532+0.5779j)  (1.4009-0.4966j)  (-1.0694+0.3341j)  (0.8874-0.2408j)  (-1.0898+0.2518j)  (1.2067-0.2311j)  (-1.1963+0.1825j)  (1.2136-0.1384j)  (-1.2366+0.0938j)  (1.0695-0.0405j)
 (0.8438+0.0000j)  (-0.9143-0.0346j)  (1.0418+0.0790j)  (-1.1343-0.1294j)  (1.1661+0.1779j)  (-1.1576-0.2217j)  (1.0450+0.2415j)  (-0.9843-0.2671j)  (1.1066+0.3457j)  (-1.1507-0.4079j)  (1.1365+0.4519j)  (-0.9781-0.4325j)  (0.8520+0.4160j)  (-0.8029-0.4304j)  (0.8780+0.5143j)  (-0.9118-0.5816j)  (0.8493+0.5881j)  (-0.7504-0.5627j)  (0.6611+0.5361j)  (-0.6056-0.5302j)  (0.5674+0.5361j)  (-0.5168-0.5267j)  (0.4730+0.5200j)  (-0.4336-0.5145j)  (0.3479+0.4461j)  (-0.3038-0.4214j)  (0.2753+0.4142j)  (-0.2420-0.3958j)  (0.2041+0.3641j)  (-0.1614-0.3153j)  (0.1321+0.2840j)  (-0.1090-0.2598j)  (0.0868+0.2308j)  (-0.0676-0.2029j)  (0.0543+0.1859j)  (-0.0420-0.1671j)  (0.0303+0.1434j)  (-0.0216-0.1256j)  (0.0148+0.1110j)  (-0.0094-0.0991j)  (0.0052+0.0923j)  (-0.0017-0.0899j)  (-0.0017+0.0922j)  (0.0055-0.0960j)  (-0.0095+0.1005j)  (0.0144-0.1084j)  (-0.0214+0.1243j)  (0.0300-0.1422j)  (-0.0410+0.1631j)  (0.0558-0.1911j)  (-0.0732+0.2197j)  (0.0919-0.2445j)  (-0.1147+0.2734j)  (0.1407-0.3025j)  (-0.1712+0.3344j)  (0.2094-0.3735j)  (-0.2470+0.4039j)  (0.2780-0.4181j)  (-0.3063+0.4250j)  (0.3433-0.4401j)  (-0.4074+0.4835j)  (0.4924-0.5413j)  (-0.5462+0.5566j)  (0.5652-0.5340j)  (-0.5614+0.4916j)  (0.5646-0.4578j)  (-0.6237+0.4677j)  (0.6980-0.4833j)  (-0.7911+0.5045j)  (0.8177-0.4790j)  (-0.8282+0.4439j)  (0.9105-0.4445j)  (-1.0322+0.4565j)  (1.0867-0.4321j)  (-0.9639+0.3417j)  (0.7661-0.2393j)  (-0.8108+0.2200j)  (1.0285-0.2377j)  (-1.0821+0.2073j)  (1.1057-0.1687j)  (-1.1661+0.1330j)  (1.1323-0.0859j)  (-0.9169+0.0347j)
